"coef","est","lo","hi","arm","rep"
"x1",1.99983750549122,1.88795244917547,2.11172256180696,"FULL",1
"x2",-0.971935208716688,-1.08429162547789,-0.859578791955486,"FULL",1
"gb",1.42899859164741,1.2329059128701,1.62509127042472,"FULL",1
"x1",1.93948134356768,1.74925585505831,2.12970683207706,"CC",1
"x2",-0.948073898429751,-1.11696795846308,-0.779179838396424,"CC",1
"gb",1.30515513282575,0.996427304010069,1.61388296164143,"CC",1
"x1",2.04925549870704,1.87834086268365,2.22017013473042,"MI",1
"x2",-0.985519840167508,-1.13401905837621,-0.837020621958809,"MI",1
"gb",1.41477722977691,1.09014949094631,1.7394049686075,"MI",1
"x1",2.0791870816894,1.89605298090848,2.26232118247033,"PMM",1
"x2",-0.964986430578216,-1.18249168122246,-0.747481179933977,"PMM",1
"gb",1.38415992154652,1.03711892088074,1.7312009222123,"PMM",1
"x1",1.97833900459743,1.85034674038708,2.10633126880779,"FULL",2
"x2",-0.989136446627204,-1.10576338174436,-0.872509511510047,"FULL",2
"gb",1.54724587815277,1.33927245321076,1.75521930309478,"FULL",2
"x1",1.92849050959216,1.71865775252255,2.13832326666177,"CC",2
"x2",-1.06887631581655,-1.24181388129402,-0.895938750339079,"CC",2
"gb",1.35184337507813,1.03600831497394,1.66767843518231,"CC",2
"x1",2.07231560686478,1.87058748766011,2.27404372606944,"MI",2
"x2",-1.07253884301819,-1.21237660662025,-0.932701079416117,"MI",2
"gb",1.4854266390166,1.15979283891369,1.81106043911952,"MI",2
"x1",2.1281392897963,1.89566427074539,2.36061430884721,"PMM",2
"x2",-1.02959937690083,-1.25686079889626,-0.802337954905395,"PMM",2
"gb",1.45993756062889,1.0953119749099,1.82456314634789,"PMM",2
"x1",2.034643226018,1.91223441466569,2.15705203737031,"FULL",3
"x2",-0.918981923023988,-1.02984227916002,-0.808121566887951,"FULL",3
"gb",1.23800781159772,1.0349407059515,1.44107491724394,"FULL",3
"x1",1.95060712484501,1.77763878864802,2.12357546104201,"CC",3
"x2",-0.844503095733987,-0.997284628203463,-0.691721563264511,"CC",3
"gb",1.1851609751242,0.893489951813876,1.47683199843452,"CC",3
"x1",2.03881795412725,1.89076936408913,2.18686654416537,"MI",3
"x2",-0.859141161655952,-0.97592693203817,-0.742355391273733,"MI",3
"gb",1.19910776420065,0.88807675810348,1.51013877029783,"MI",3
"x1",2.05464913369936,1.86279677727519,2.24650149012353,"PMM",3
"x2",-0.849005439813294,-1.00711511423076,-0.690895765395824,"PMM",3
"gb",1.16271882444234,0.8287812870969,1.49665636178778,"PMM",3
"x1",1.97673913042846,1.86281051561677,2.09066774524015,"FULL",4
"x2",-1.12530971033244,-1.23882596604424,-1.01179345462065,"FULL",4
"gb",1.42158798423489,1.21134459573835,1.63183137273142,"FULL",4
"x1",1.8888349270701,1.69510731177907,2.08256254236113,"CC",4
"x2",-1.10553183402926,-1.27136316855283,-0.939700499505694,"CC",4
"gb",1.13498211743208,0.787712037014336,1.48225219784983,"CC",4
"x1",1.99876499675906,1.82143913501004,2.17609085850807,"MI",4
"x2",-1.09281245031255,-1.23665087089432,-0.948974029730782,"MI",4
"gb",1.38629208265222,1.01005411772494,1.7625300475795,"MI",4
"x1",2.02641424058268,1.87330621641305,2.17952226475232,"PMM",4
"x2",-1.10065583966461,-1.27204240201173,-0.929269277317481,"PMM",4
"gb",1.26797293710238,0.974726291416317,1.56121958278844,"PMM",4
"x1",1.90840277335442,1.7971223254483,2.01968322126054,"FULL",5
"x2",-0.971477507149234,-1.07978721815388,-0.863167796144588,"FULL",5
"gb",1.27882471355155,1.08238816873489,1.47526125836822,"FULL",5
"x1",1.8664233738015,1.70773586091979,2.02511088668321,"CC",5
"x2",-0.9879826327457,-1.13971850647979,-0.836246759011611,"CC",5
"gb",1.17612329507296,0.898027128716009,1.45421946142992,"CC",5
"x1",1.95988629501912,1.82955944558103,2.09021314445721,"MI",5
"x2",-1.05007809165582,-1.22143418227161,-0.878722001040023,"MI",5
"gb",1.23451039223735,0.964163524970108,1.5048572595046,"MI",5
"x1",1.90834875737766,1.73968722916525,2.07701028559008,"PMM",5
"x2",-0.996660430680825,-1.17772601845258,-0.815594842909068,"PMM",5
"gb",1.26213169604484,1.02982820971457,1.4944351823751,"PMM",5
"x1",1.93244066369012,1.8184382074221,2.04644311995814,"FULL",6
"x2",-0.938208466632776,-1.0465327506391,-0.829884182626455,"FULL",6
"gb",1.66707173086842,1.46631776391895,1.86782569781788,"FULL",6
"x1",1.81614675161309,1.64129490595748,1.99099859726869,"CC",6
"x2",-0.889287836164977,-1.05372545405746,-0.724850218272491,"CC",6
"gb",1.7566505819435,1.45029694001456,2.06300422387245,"CC",6
"x1",1.92540000025911,1.79686703424561,2.05393296627261,"MI",6
"x2",-0.978243776291151,-1.1277029898857,-0.828784562696602,"MI",6
"gb",1.70519762486415,1.45492452238627,1.95547072734203,"MI",6
"x1",1.96036418242482,1.82646603064016,2.09426233420949,"PMM",6
"x2",-0.959597768923203,-1.08021490017365,-0.83898063767275,"PMM",6
"gb",1.72562035274543,1.42169057046665,2.02955013502421,"PMM",6
"x1",2.02443880339902,1.904319019084,2.14455858771404,"FULL",7
"x2",-1.0103187160267,-1.12596794141203,-0.894669490641364,"FULL",7
"gb",1.4648518823879,1.25551701456431,1.67418675021148,"FULL",7
"x1",1.93711116518161,1.73348739617505,2.14073493418817,"CC",7
"x2",-0.995379381333662,-1.1949413664801,-0.795817396187219,"CC",7
"gb",1.29344886065279,0.959164491403294,1.6277332299023,"CC",7
"x1",2.01540883445192,1.76099445464748,2.26982321425636,"MI",7
"x2",-1.07321889701571,-1.32537633651084,-0.821061457520588,"MI",7
"gb",1.41143308356936,1.15351765132304,1.66934851581568,"MI",7
"x1",2.07998422720098,1.93846147747867,2.22150697692329,"PMM",7
"x2",-1.09071131750601,-1.2170254513296,-0.964397183682431,"PMM",7
"gb",1.29648568058742,0.907426979037,1.68554438213783,"PMM",7
"x1",1.99614182050114,1.88631820096481,2.10596544003746,"FULL",8
"x2",-1.09602067085248,-1.21627892387382,-0.975762417831141,"FULL",8
"gb",1.45393546524571,1.24562123843983,1.66224969205159,"FULL",8
"x1",1.93147495433517,1.76288011016433,2.10006979850601,"CC",8
"x2",-1.03927453232507,-1.21055725210093,-0.86799181254922,"CC",8
"gb",1.30509764643577,0.987179170656535,1.623016122215,"CC",8
"x1",2.01272253193527,1.8724117124641,2.15303335140643,"MI",8
"x2",-1.09005194139053,-1.21674099456729,-0.963362888213774,"MI",8
"gb",1.4243117020852,1.10725704442329,1.74136635974712,"MI",8
"x1",2.02620061539177,1.89730924643579,2.15509198434774,"PMM",8
"x2",-1.04237309926044,-1.19810798793057,-0.88663821059031,"PMM",8
"gb",1.40822032128269,0.926562139045845,1.88987850351953,"PMM",8
"x1",1.89479270673774,1.77753637472947,2.012049038746,"FULL",9
"x2",-0.952587466055753,-1.06415570246759,-0.841019229643918,"FULL",9
"gb",1.48837905933051,1.28210331523957,1.69465480342146,"FULL",9
"x1",1.89876883340178,1.7139099371907,2.08362772961287,"CC",9
"x2",-0.972153020653016,-1.14411302042462,-0.800193020881407,"CC",9
"gb",1.48484129387919,1.16254368450833,1.80713890325005,"CC",9
"x1",1.90448298471248,1.74984474404476,2.0591212253802,"MI",9
"x2",-0.940451061447951,-1.0677977094846,-0.8131044134113,"MI",9
"gb",1.69719080276044,1.47730885675156,1.91707274876932,"MI",9
"x1",1.93051074083974,1.77305062746259,2.08797085421688,"PMM",9
"x2",-0.943849325435837,-1.10315971365907,-0.784538937212604,"PMM",9
"gb",1.67357682350156,1.37677034762153,1.97038329938158,"PMM",9
"x1",1.95881808144694,1.84481451811351,2.07282164478037,"FULL",10
"x2",-0.884411702886719,-1.00272895830726,-0.766094447466177,"FULL",10
"gb",1.39948968412699,1.20047086314462,1.59850850510937,"FULL",10
